Workshop,Experience ID,Participant ID,Created,Categories,Sources,Description,Tag,,,,,,,,,,,,,,,,,,
FIN1,4,11,5/21/2020 12:14,"skills,respect","manager,peers",,,,,,,,,,,,,,,,,,,,
007,5,14,5/21/2020 12:15,"access,recognition,respect","manager,leadership",Being consistently spoken over or dismissed in meetings,,,,,,,,,,,,,,,,,,,
007,6,6,5/21/2020 12:15,"access,compensation,interactions","leadership,peers",Hearing others make sexist jokes at work,,,,,,,,,,,,,,,,,,,
007,7,18,5/21/2020 12:16,career,leadership,I have seen some colleagues generally excluded from opportunities to lead significant projects.,,,,,,,,,,,,,,,,,,,
007,8,11,5/21/2020 12:16,access,"manager,peers",Viewed as an expert in my trade therefore not having much to offer in other areas of the organization.,,,,,,,,,,,,,,,,,,,
007,9,8,5/21/2020 12:17,life,leadership,At my last company I didn't advance as quickly as those who spent time going to after work events (both professional and happy-hour-types),,,,,,,,,,,,,,,,,,,
007,10,22,5/21/2020 12:17,interactions,hr,I am often the only minority within my peers,,,,,,,,,,,,,,,,,,,
007,11,14,5/21/2020 12:17,"compensation,recognition","manager,leadership,peers","My work, and the direct results of my work, are not reflected in my performance reviews but my leadership and some peers take credit for them. I'm often the only woman in these situations.",,,,,,,,,,,,,,,,,,,
007,12,6,5/21/2020 12:17,interactions,"leadership,peers","Emphasis on observing specific religious holidays (xmas, others) when many of my peers don't celebrate them",,,,,,,,,,,,,,,,,,,
007,13,24,5/21/2020 12:18,"career,recognition","manager,leadership","Earlier in my career, I had my children and believe that I was not provided the same opportunities to take on key projects.  This considerably slowed my career advancement.",,,,,,,,,,,,,,,,,,,
007,14,22,5/21/2020 12:18,"access,respect,interactions","manager,leadership",I am often asked to substantiate or prove statements where other male peers are not required to do the same,,,,,,,,,,,,,,,,,,,
007,15,16,5/21/2020 12:18,respect,leadership,i have felt excluded as a woman where I was the only woman and some derogatory comments were made about women. everyone laughed and I was embarrassed. this took place years ago and not at *company*,,,,,,,,,,,,,,,,,,,
007,16,20,5/21/2020 12:19,"career,respect","leadership,hr",Long-term employees are viewed as knowledgeable about the industry. My ideas are often not heard in a meeting when a white male gives the same suggestion everyone listens.,,,,,,,,,,,,,,,,,,,
007,17,14,5/21/2020 12:19,"career,recognition,respect,interactions","manager,leadership,peers",I have often experienced a much higher and almost insidious 'burden of proof' than my male peers- I often feel this is a communication challenge. I feel that the environment is not tolerant at all to learning different communication styles - if I can't 'manage up' I fail.  I see that for others (male) there is more forgiveness on this.,,,,,,,,,,,,,,,,,,,
007,18,18,5/21/2020 12:19,career,leadership,"I have seen some colleagues who are seen as ""do-ers"" be passed over for promotions and not prepared for development and advancement.",,,,,,,,,,,,,,,,,,,
007,19,8,5/21/2020 12:19,"career,interactions","manager,leadership,peers",I tend to feel like I am not able to advance objectives or obtain desired performance or support when I must collaborate with aggressive/unpleasant colleagues or superiors; I have feel like I have not advanced as far as I could have if I were a more aggressive personality,,,,,,,,,,,,,,,,,,,
007,20,16,5/21/2020 12:20,access,peers,sometimes when in a meeting and references are made to sports I feel excluded because I don't follow any sports,,,,,,,,,,,,,,,,,,,
007,21,13,5/21/2020 12:20,"access,interactions",customers,"Prior to joining *company*, clients of my former employer were not always as open to including a professional of my then-age and gender in work-related social events or other opportunities, even though my own employer was very eager to be inclusive.",,,,,,,,,,,,,,,,,,,
007,22,22,5/21/2020 12:20,"access,respect,interactions","manager,leadership,peers",I often have to speak up and compete for attention from managers with other male peers whose voice is stronger,,,,,,,,,,,,,,,,,,,
007,23,24,5/21/2020 12:20,"respect,interactions","manager,leadership,peers","I had been leading a key project for 2 years and had a junior white male come work for me.  After he joined my team, at both internal and external meetings, people in the room automatically spoke to him about the project and its status.  I had to have a direct conversation with my supervisor to ask that this unconscious bias be addressed and stopped.",,,,,,,,,,,,,,,,,,,
007,24,14,5/21/2020 12:21,"compensation,recognition,respect,interactions","manager,leadership,peers","My 'negatives', which are often referred to as 'emotional', 'less tactful', and 'combative' are brought up much more frequently than my contributions in performance and promotion discussions.  I see that the 'negatives' of my male counterparts seem to be more tolerable to my leadership.",,,,,,,,,,,,,,,,,,,
