Workshop,Region/Country,Industry,Organization size,Participant ID,Race,Gender,Orientation,Age,Disability,Years in company,Satisfaction,Staff level,Staff type,,,,,,,,,,,,,,,,
001,US,Various,,381,white,female,heterosexual,30+,invisible,0,1,,,,,,,,,,,,,,,,,,
001,US,Various,,382,white,male,heterosexual,50+,none,5,2,,,,,,,,,,,,,,,,,,
001,US,Various,,383,white,male,gay,20+,none,2,2,,,,,,,,,,,,,,,,,,
001,US,Various,,384,white,male,heterosexual,50+,none,5,1,,,,,,,,,,,,,,,,,,
001,US,"Legal, nonprofit",9000+,474,TEST,female,TEST,20+,invisible,0,2,,,,,,,,,,,,,,,,,,
002,US,"Legal, nonprofit",9000+,475,white,female,heterosexual,50+,none,0,2,,,,,,,,,,,,,,,,,,
002,US,"Legal, nonprofit",9000+,476,black,female,heterosexual,40+,none,0,1,,,,,,,,,,,,,,,,,,
002,US,"Legal, nonprofit",9000+,477,white,female,heterosexual,30+,none,0,-1,,,,,,,,,,,,,,,,,,
002,US,"Legal, nonprofit",9000+,478,hispanic,male,heterosexual,30+,none,0,1,,,,,,,,,,,,,,,,,,
002,US,"Legal, nonprofit",9000+,479,white,female,heterosexual,20+,none,0,2,,,,,,,,,,,,,,,,,,
002,US,"Legal, nonprofit",9000+,480,white,female,heterosexual,30+,empty,0,1,,,,,,,,,,,,,,,,,,
002,US,"Legal, nonprofit",9000+,481,white,female,heterosexual,40+,none,0,1,,,,,,,,,,,,,,,,,,
002,US,"Legal, nonprofit",9000+,482,asian,female,heterosexual,40+,,0,2,,,,,,,,,,,,,,,,,,
002,US,"Legal, nonprofit",9000+,483,white,female,heterosexual,30+,none,0,0,,,,,,,,,,,,,,,,,,
002,US,"Legal, nonprofit",9000+,484,asian,male,heterosexual,30+,none,0,0,,,,,,,,,,,,,,,,,,
002,US,"Legal, nonprofit",9000+,485,white,transgender,queer,40+,invisible,0,2,,,,,,,,,,,,,,,,,,
002,US,"Legal, nonprofit",9000+,486,white,male,heterosexual,40+,visible,0,1,,,,,,,,,,,,,,,,,,
002,US,"Legal, nonprofit",9000+,487,white,female,heterosexual,40+,none,0,-1,,,,,,,,,,,,,,,,,,
002,US,"Legal, nonprofit",9000+,488,white,female,heterosexual,50+,visible,0,0,,,,,,,,,,,,,,,,,,
002,US,"Legal, nonprofit",9000+,489,white,female,heterosexual,50+,none,0,1,,,,,,,,,,,,,,,,,,
002,US,"Legal, nonprofit",9000+,490,,female,heterosexual,40+,skip,0,-1,,,,,,,,,,,,,,,,,,
002,US,"Legal, nonprofit",9000+,491,white,female,bisexual,40+,none,0,-1,,,,,,,,,,,,,,,,,,
002,US,"Legal, nonprofit",9000+,492,white,male,heterosexual,60+,none,0,1,,,,,,,,,,,,,,,,,,
002,US,"Legal, nonprofit",9000+,493,Black / American Indian,female,heterosexual,60+,invisible,0,-1,,,,,,,,,,,,,,,,,,
002,US,"Legal, nonprofit",9000+,494,black,female,heterosexual,30+,none,0,1,,,,,,,,,,,,,,,,,,
002,US,"Legal, nonprofit",9000+,495,white,female,heterosexual,30+,invisible,0,-1,,,,,,,,,,,,,,,,,,
002,US,"Legal, nonprofit",9000+,496,white,female,heterosexual,30+,skip,0,2,,,,,,,,,,,,,,,,,,
002,US,"Legal, nonprofit",9000+,497,black,female,heterosexual,50+,none,0,-1,,,,,,,,,,,,,,,,,,
002,US,"Legal, nonprofit",9000+,498,white,female,heterosexual,50+,empty,0,1,,,,,,,,,,,,,,,,,,
002,US,"Legal, nonprofit",9000+,499,white,female,heterosexual,30+,invisible,0,1,,,,,,,,,,,,,,,,,,
002,US,"Legal, nonprofit",9000+,500,white,male,bisexual,30+,none,0,1,,,,,,,,,,,,,,,,,,
002,US,"Legal, nonprofit",9000+,501,white,female,heterosexual,70+,invisible,0,1,,,,,,,,,,,,,,,,,,
002,US,"Legal, nonprofit",9000+,502,black,male,heterosexual,30+,both,0,0,,,,,,,,,,,,,,,,,,
002,US,"Legal, nonprofit",9000+,503,white,female,heterosexual,60+,empty,0,2,,,,,,,,,,,,,,,,,,
002,US,"Legal, nonprofit",9000+,505,white,male,heterosexual,30+,empty,0,1,,,,,,,,,,,,,,,,,,
002,US,"Legal, nonprofit",9000+,506,black,female,heterosexual,50+,none,0,1,,,,,,,,,,,,,,,,,,
