Categories,Created,Description,Experience ID,Participant ID,Sources,Tag,Workshop,0,Categories-Access,Categories-Career,Categories-Compensation,Categories-Interactions,Categories-Learning,Categories-Life,Categories-Recognition,Categories-Respect,Categories-Skills,Sources-Customers,Sources-HR,Sources-Leadership,Sources-Manager,Sources-Peers,Sources-Policy,Sources-Reports
"skills,respect",5/21/2020 12:14,,4,11,"manager,peers",,FIN1,,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0
"access,recognition,respect",5/21/2020 12:15,Being consistently spoken over or dismissed in meetings,5,14,"manager,leadership",,7,,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0
"access,compensation,interactions",5/21/2020 12:15,Hearing others make sexist jokes at work,6,6,"leadership,peers",,7,,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0
career,5/21/2020 12:16,I have seen some colleagues generally excluded from opportunities to lead significant projects.,7,18,leadership,,7,,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
access,5/21/2020 12:16,Viewed as an expert in my trade therefore not having much to offer in other areas of the organization.,8,11,"manager,peers",,7,,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
life,5/21/2020 12:17,At my last company I didn't advance as quickly as those who spent time going to after work events (both professional and happy-hour-types),9,8,leadership,,7,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
interactions,5/21/2020 12:17,I am often the only minority within my peers,10,22,hr,,7,,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"compensation,recognition",5/21/2020 12:17,"My work, and the direct results of my work, are not reflected in my performance reviews but my leadership and some peers take credit for them. I'm often the only woman in these situations.",11,14,"manager,leadership,peers",,7,,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0
interactions,5/21/2020 12:17,"Emphasis on observing specific religious holidays (xmas, others) when many of my peers don't celebrate them",12,6,"leadership,peers",,7,,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
"career,recognition",5/21/2020 12:18,"Earlier in my career, I had my children and believe that I was not provided the same opportunities to take on key projects.  This considerably slowed my career advancement.",13,24,"manager,leadership",,7,,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0
