Deal ID,Company ID,Primary Industry Sector,Primary Industry Group,Primary Industry Code,All Industries,Verticals,Keywords,Current Financing Status,Current Business Status,Universe,CEO PBId,CEO Education,Deal No.,Deal ID.1,Deal Date,Deal Size,Deal Size Status,Pre-money Valuation,Post Valuation,% Acquired,Raised to Date,VC Round,Price per Share,Series,Deal Type,Deal Class,Total Invested Equity,Deal Status,Business Status,Financing Status,# Investors,# New Investors,# Follow-on Investors,Current Employees,Native Currency of Deal,HQ Location,HQ Global Region,HQ Global Sub Region,Company City,Company Country,Year Founded
39969-55T,100020-70,Information Technology,Software,Software Development Applications,"Business/Productivity Software, Software Development Applications*","Artificial Intelligence & Machine Learning, Big Data, CloudTech & DevOps, SaaS, TMT","big data, big data tech, data analytics, data coding, software engineering",Formerly VC-backed,Generating Revenue,Venture Capital,86322-97P,"DE (Doctor of Engineering), 2011, Computer Science; Master's, 2006, Computer Science",1,39969-55T,1/5/2015,0.61,Actual,3.47,4.08,15.0,0.61,1st Round,138.19,No Categorization,Seed Round,Venture Capital,0.61,Completed,Generating Revenue,Venture Capital-Backed,1.0,1.0,0,4.0,Euros (EUR),"Darmstadt, Germany",Europe,Western Europe,Darmstadt,Germany,2013.0
110654-56T,100137-34,Information Technology,Software,Application Software,"Application Software*, Social/Platform Software, Software Development Applications","CloudTech & DevOps, Mobile, SaaS, TMT","application development, cloud api, crosses platform, mobile app",Venture Capital-Backed,Generating Revenue,Venture Capital,86698-54P,,3,110654-56T,1/1/2017,14.11,Actual,-1.0,-1.0,0.0,19.11,2nd Round,0.0,Series B,Early Stage VC,Corporate,14.11,Completed,Generating Revenue,Venture Capital-Backed,1.0,1.0,0,40.0,Chinese Yuan RMB (CNY),"Beijing, China",Asia,East Asia,Beijing,China,2014.0
44054-83T,100394-02,Information Technology,Software,Application Software,"Application Software*, Business/Productivity Software, Communication Software","CloudTech & DevOps, Cybersecurity, Mobile, SaaS","android application, cloud security, cloud-based software, high-level data, ios application",Formerly VC-backed,Out of Business,Venture Capital,89360-38P,"MS (Master of Science), 1986, Chemical Engineering",6,44054-83T,12/1/2015,1.61,Actual,-1.0,-1.0,0.0,1.79,3rd Round,0.0,No Categorization,Seed Round,Venture Capital,1.61,Completed,Generating Revenue,Venture Capital-Backed,0.0,0.0,0,7.0,Euros (EUR),"Lund, Sweden",Europe,Northern Europe,Lund,Sweden,2011.0
75114-55T,100742-86,Information Technology,Software,Business/Productivity Software,"Business/Productivity Software*, Systems and Information Management","CloudTech & DevOps, SaaS, TMT","cloud infrastructure, hybrid cloud, multi-cloud strategy, multi-cloud systems, public cloud",Formerly Angel backed,Generating Revenue,Pre-venture,144326-80P,"BE (Bachelor of Engineering), 2001, Computer Science & Engineering; Degree, 1998, Computer Technology",1,75114-55T,2/12/2016,0.13,Actual,-1.0,-1.0,0.0,0.13,1st Round,0.0,No Categorization,Seed Round,Individual,0.13,Completed,Startup,Angel-Backed,1.0,1.0,0,2.0,India Rupees (INR),"Bangalore, India",Asia,South Asia,Bangalore,India,2014.0
135691-30T,100744-84,Information Technology,Software,Software Development Applications,"Business/Productivity Software, Software Development Applications*","Big Data, CloudTech & DevOps, TMT","cloudtech & devops, cloudtech and devops, collaboration platform, data collaboration, enterprise collaboration platform, low coding / no coding, manage data, spreadsheet tools",Venture Capital-Backed,Generating Revenue,Venture Capital,41875-48P,"Duke University, Degree, 2009, Mechanical Engineering",7,135691-30T,9/14/2020,185.0,Actual,2400.0,2585.0,7.16,355.0,7th Round,56.54,Series D,Later Stage VC,Venture Capital,185.0,Completed,Generating Revenue,Venture Capital-Backed,6.0,1.0,5,335.0,US Dollars (USD),"San Francisco, CA",Americas,North America,San Francisco,United States,2012.0
113780-71T,100744-84,Information Technology,Software,Software Development Applications,"Business/Productivity Software, Software Development Applications*","Big Data, CloudTech & DevOps, TMT","cloudtech & devops, cloudtech and devops, collaboration platform, data collaboration, enterprise collaboration platform, low coding / no coding, manage data, spreadsheet tools",Venture Capital-Backed,Generating Revenue,Venture Capital,41875-48P,"Duke University, Degree, 2009, Mechanical Engineering",6,113780-71T,11/15/2018,100.0,Actual,1000.0,1100.0,9.09,170.0,6th Round,26.73,Series C,Later Stage VC,Venture Capital,100.0,Completed,Generating Revenue,Venture Capital-Backed,12.0,10.0,2,335.0,US Dollars (USD),"San Francisco, CA",Americas,North America,San Francisco,United States,2012.0
102813-13T,100744-84,Information Technology,Software,Software Development Applications,"Business/Productivity Software, Software Development Applications*","Big Data, CloudTech & DevOps, TMT","cloudtech & devops, cloudtech and devops, collaboration platform, data collaboration, enterprise collaboration platform, low coding / no coding, manage data, spreadsheet tools",Venture Capital-Backed,Generating Revenue,Venture Capital,41875-48P,"Duke University, Degree, 2009, Mechanical Engineering",5,102813-13T,3/15/2018,52.0,Estimated,100.0,152.0,34.21,70.0,5th Round,4.86,Series B,Later Stage VC,Venture Capital,52.0,Completed,Generating Revenue,Venture Capital-Backed,6.0,3.0,3,335.0,US Dollars (USD),"San Francisco, CA",Americas,North America,San Francisco,United States,2012.0
52596-64T,100744-84,Information Technology,Software,Software Development Applications,"Business/Productivity Software, Software Development Applications*","Big Data, CloudTech & DevOps, TMT","cloudtech & devops, cloudtech and devops, collaboration platform, data collaboration, enterprise collaboration platform, low coding / no coding, manage data, spreadsheet tools",Venture Capital-Backed,Generating Revenue,Venture Capital,41875-48P,"Duke University, Degree, 2009, Mechanical Engineering",3,52596-64T,6/29/2015,7.6,Actual,22.4,30.0,25.33,10.6,3rd Round,1.35,Series A,Early Stage VC,Venture Capital,7.6,Completed,Generating Revenue,Venture Capital-Backed,17.0,10.0,7,335.0,US Dollars (USD),"San Francisco, CA",Americas,North America,San Francisco,United States,2012.0
46281-34T,100744-84,Information Technology,Software,Software Development Applications,"Business/Productivity Software, Software Development Applications*","Big Data, CloudTech & DevOps, TMT","cloudtech & devops, cloudtech and devops, collaboration platform, data collaboration, enterprise collaboration platform, low coding / no coding, manage data, spreadsheet tools",Venture Capital-Backed,Generating Revenue,Venture Capital,41875-48P,"Duke University, Degree, 2009, Mechanical Engineering",2,46281-34T,2/25/2015,3.0,Actual,6.88,9.88,30.36,3.0,2nd Round,0.78,No Categorization,Early Stage VC,Venture Capital,3.0,Completed,Generating Revenue,Venture Capital-Backed,23.0,23.0,0,335.0,US Dollars (USD),"San Francisco, CA",Americas,North America,San Francisco,United States,2012.0
157575-34T,100818-91,Information Technology,Software,Business/Productivity Software,"Business/Productivity Software*, Media and Information Services (B2B), Software Development Applications","CloudTech & DevOps, Marketing Tech, SaaS, TMT","app development, automated referral marketing, marketing platform, referral marketing platform, referral marketing technology",Venture Capital-Backed,Generating Revenue,Venture Capital,90247-69P,"Osmania University, MCA (Master of Computer Applications), 2008, Computer Applications",6,157575-34T,10/13/2020,0.17,Actual,0.67,0.83,20.0,1.14,2nd Round,0.06,No Categorization,Seed Round,Venture Capital,0.17,Completed,Generating Revenue,Venture Capital-Backed,0.0,0.0,0,6.0,US Dollars (USD),"Wilmington, DE",Americas,North America,Wilmington,United States,2014.0
