Company PBID,Exit Date_x,Exit Type_x,VC Round Stock Type,VC Deal Size (millions),Time Since VC Round,VC Round Close Date,Payout,Return % ,Return MOIC ,Industry Sector,Industry Group,Industry Code,State,City,Country,3D Printing,Advanced Manufacturing,Artificial Intelligence & Machine Learning,Big Data,CloudTech & DevOps,Cybersecurity,E-Commerce,FinTech,Gaming,Industrials,Internet of Things,LOHAS & Wellness,Marketing Tech,Mobile,Mobile Commerce,Mobility Tech,Robotics and Drones,SaaS,Supply Chain Tech,TMT
40452-67,11/30/2016,Buyout/LBO,Series A,7.000001000000000,14.72876712,3/13/2002,157.53582,27.573,32.602510000000000,Information Technology,Software,Business/Productivity Software,Minnesota,Minneapolis,United States,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
40452-67,11/30/2016,Buyout/LBO,Series B,7.000001000000000,14.72876712,3/13/2002,157.53582,27.573,21.54688,Information Technology,Software,Business/Productivity Software,Minnesota,Minneapolis,United States,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
40452-67,11/30/2016,Buyout/LBO,Series C,11.0,10.47671233,6/12/2006,139.817,11.50838,18.23574,Information Technology,Software,Business/Productivity Software,Minnesota,Minneapolis,United States,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
40452-67,11/30/2016,Buyout/LBO,Series D,11.0,10.47671233,6/12/2006,139.817,11.50838,18.23574,Information Technology,Software,Business/Productivity Software,Minnesota,Minneapolis,United States,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
40452-67,11/30/2016,Buyout/LBO,Series E,11.0,10.47671233,6/12/2006,139.817,11.50838,18.23574,Information Technology,Software,Business/Productivity Software,Minnesota,Minneapolis,United States,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
40452-67,11/30/2016,Buyout/LBO,Series F,4.734979,2.665753425,4/2/2014,146.29802,11.93347,14.18916,Information Technology,Software,Business/Productivity Software,Minnesota,Minneapolis,United States,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
40452-67,11/30/2016,Buyout/LBO,Series G,4.734979,2.665753425,4/2/2014,146.29802,11.93347,14.18916,Information Technology,Software,Business/Productivity Software,Minnesota,Minneapolis,United States,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
40452-67,11/30/2016,Buyout/LBO,Series H,3.499998,0.6575342470000000,4/4/2016,260.56311,11.93347,14.18916,Information Technology,Software,Business/Productivity Software,Minnesota,Minneapolis,United States,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
58412-62,10/16/2015,Merger/Acquisition,Seed,1.0,2.635616438,2/26/2013,18.0429,17.0429,18.0429,Information Technology,IT Services,Systems and Information Management,California,Santa Barbara,United States,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
58412-62,10/16/2015,Merger/Acquisition,Series A,6.0,2.178082192,8/12/2013,43.3029,6.2171400000000000,7.21714,Information Technology,IT Services,Systems and Information Management,California,Santa Barbara,United States,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
53557-21,4/24/2015,IPO,Series A,11.9175,9.98630137,5/1/2005,32.9788,1.7672600000000000,2.76726,Information Technology,Software,Software Development Applications,California,San Jose,United States,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
53557-21,4/24/2015,IPO,Series B,16.000011000000000,8.567123288,10/1/2006,30.6089,0.913058,1.91306,Information Technology,Software,Software Development Applications,California,San Jose,United States,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
