Company PBID,Exit Type,Industry Sector,Industry Group,Industry Code,Verticals,Exit Date,Exit Size (millions),Pre Value (millions),Post Value (millions),Last VC Deal Type,Total VC Capital Raised ($M)*** ,Total Preferred Capital Raised ($M)*,% Preferred Capital Raised*,Total Preferred Capital Raised ($M) - Combination**,% Preferred Capital Raised - Combination**,MOIC,State,City,Country
82024-93,Merger/Acquisition,Business Products and Services (B2B),Commercial Services,Media and Information Services (B2B),"SaaS, AdTech, Marketing Tech, TMT, CloudTech & DevOps",4/11/2016,814.72883,2699.34088,1059.41088,Early Stage VC,43.32834,60.78691,0.84777,66.58152,0.93632,9.25395,Kansas,Wichita,United States
155748-70,Merger/Acquisition,Information Technology,Software,Other Software,"3D Printing, TMT, CloudTech & DevOps",11/15/2017,902.65057,2964.89624,845.34662,Early Stage VC,50.62384,55.15592,0.87993,72.71344,0.90417,9.47171,Utah,Park City,United States
160695-55,Merger/Acquisition,Information Technology,Software,Software Development Applications,"SaaS, TMT, CloudTech & DevOps",1/13/2017,968.40699,2885.81824,685.35682,Early Stage VC,0.7,57.44536,0.87169,66.15441,1.11871,13.11063,England,Tel Aviv,Israel
81857-08,Merger/Acquisition,Information Technology,Software,Business/Productivity Software,"SaaS, CloudTech & DevOps",3/18/2019,166,2501.49923,166,Early Stage VC,10.1,47.26088,0.85974,48.24907,0.84979,16.4356,Texas,Georgetown,United States
168816-52,Merger/Acquisition,Information Technology,Software,Application Software,"Mobile, Artificial Intelligence & Machine Learning, TMT, CloudTech & DevOps",8/16/2017,1073.04526,2699.34088,1618.63548,Seed Round,2,55.84431,0.87169,66.15441,0.85299,10.34823,England,Minsk,Belarus
62510-23,Merger/Acquisition,Business Products and Services (B2B),Commercial Services,Media and Information Services (B2B),"SaaS, Mobile, Marketing Tech, TMT, CloudTech & DevOps",4/1/2015,1074.76132,2699.34088,632.70945,Seed Round,1.15,53.7365,0.89358,64.09437,0.79422,11.86013,California,San Francisco,United States
40452-67,Buyout/LBO,Information Technology,Software,Business/Productivity Software,"SaaS, Cybersecurity, TMT, CloudTech & DevOps",11/30/2016,467.17604,2695.0099,437.49697,Series H,68.235,26.234978,0.384479783,26.234978,0.384479783,8.55698,Minnesota,Minneapolis,United States
179890-84,Merger/Acquisition,Information Technology,Software,Application Software,"Mobile, LOHAS & Wellness, Big Data, Internet of Things, TMT, Industrials, CloudTech & DevOps",8/23/2018,14.1,3513.3735,14.1,Early Stage VC,20.82428,57.65582,0.87965,67.57671,0.91521,7.21418,Ontario,Kitchener,Canada
95679-28,Merger/Acquisition,Information Technology,Software,Multimedia and Design Software,"TMT, SaaS, CloudTech & DevOps",1/23/2019,106.1,2299.84455,106.1,Series B,1.94,43.91821,0.83412,51.73576,0.84853,54.6907,England,Clermont-Ferrand,France
56703-97,Merger/Acquisition,Information Technology,Other Information Technology,Other Information Technology,"TMT, CloudTech & DevOps",12/16/2016,22.6739,2423.56727,22.6739,Seed Round,0.643,32.41987,0.92928,47.95624,0.8903,35.2626,England,Warwick,United Kingdom
119612-71,Merger/Acquisition,Information Technology,Communications and Networking,Telecommunications Service Providers,"SaaS, TMT, CloudTech & DevOps",7/13/2015,888.71796,2699.34088,867.67559,Early Stage VC,43.26093,64.87048,0.88017,68.64155,0.88233,9.91163,California,Dublin,Ireland
62307-28,Merger/Acquisition,Information Technology,Software,Database Software,"SaaS, Mobile, Big Data, TMT, CloudTech & DevOps",5/10/2019,16,2591.92867,16,Early Stage VC,3.74683,44.92231,0.85057,48.00656,0.87617,6.54095,Washington,Seattle,United States
58412-62,Merger/Acquisition,Information Technology,IT Services,Systems and Information Management,"SaaS, TMT, CloudTech & DevOps",10/16/2015,126.3,2134.91915,126.3,Series A,7,7,1,7,1,18.0429,California,Santa Barbara,United States
59251-15,Merger/Acquisition,Information Technology,Software,Business/Productivity Software,"SaaS, Mobile, TMT, CloudTech & DevOps",6/23/2020,324.00956,3350.87957,863.28788,Later Stage VC,9.83601,2.874998,0.292293115,2.874998,0.292293115,7.84099,Washington,Seattle,United States
57378-16,Merger/Acquisition,Information Technology,Software,Software Development Applications,"SaaS, TMT, CloudTech & DevOps",2/22/2017,1074.76132,2885.81824,654.38739,Early Stage VC,8.55,53.7365,0.87383,64.09437,0.87999,9.25395,California,San Francisco,United States
53557-21,IPO,Information Technology,Software,Software Development Applications,"TMT, CloudTech & DevOps",4/24/2015,407.531,407.531,494.486,Series H,182.145,115.591128,0.634610492,182.145018,1.000000099,2.2374,California,San Jose,United States
157322-08,Merger/Acquisition,Information Technology,Software,Network Management Software,"Cybersecurity, CloudTech & DevOps",12/23/2019,144.1,2625.22195,144.1,Series B,37.8,41.6817,0.89935,47.17742,0.87571,3.81217,California,San Jose,United States
82160-38,Merger/Acquisition,Information Technology,Software,Software Development Applications,"TMT, CloudTech & DevOps",7/26/2016,6.5,202.28815,6.5,Series A,7.60114,7.951142,1.046045988,7.951142,1.046045988,7.08035,California,Santa Clara,United States
56251-81,Merger/Acquisition,Information Technology,Software,Network Management Software,"SaaS, TMT, CloudTech & DevOps",8/17/2015,806.49611,2699.34088,638.78509,Later Stage VC,12,59.39187,0.87383,57.96245,0.88697,9.25395,Iowa,Des Moines,United States
52228-63,Merger/Acquisition,Information Technology,Software,Business/Productivity Software,"SaaS, TMT, CloudTech & DevOps",1/24/2017,3258,2171.29962,3258,Series F,364.5,364.499988,0.999999967,364.499988,0.999999967,8.93827,California,San Francisco,United States
51725-08,Buyout/LBO,Information Technology,Software,Network Management Software,"SaaS, Mobile, Cybersecurity, TMT, CloudTech & DevOps",1/11/2017,524.25259,2682.85745,461.18508,Series C,40.6253,34.25,0.843070697,34.25,0.843070697,10.90082,Massachusetts,Boston,United States
51540-76,Merger/Acquisition,Information Technology,Software,Network Management Software,"SaaS, TMT, CloudTech & DevOps",8/18/2016,409.70226,2526.25203,427.57274,Later Stage VC,21.0251,14.200148,0.675390272,15.200148,0.722952471,7.71283,Minnesota,Bloomington,United States
62429-23,Merger/Acquisition,Information Technology,Software,Automation/Workflow Software,"SaaS, TMT, CloudTech & DevOps",12/6/2016,47.9,2423.56727,47.9,Series A,7,45.56317,0.89785,47.60803,0.87327,6.86558,California,San Jose,United States
54391-69,IPO,Information Technology,Software,Business/Productivity Software,"Mobile, TMT, Artificial Intelligence & Machine Learning, CloudTech & DevOps",5/25/2017,629.255,629.255,704.255,Series B,47.5,47.499994,0.999999874,47.499994,0.999999874,4.21786,Virginia,McLean,United States
119461-06,Merger/Acquisition,Information Technology,IT Services,Systems and Information Management,"TMT, CloudTech & DevOps",1/22/2018,847.88071,2479.62645,1339.54048,Series A,15.6984,15.6984,1,15.6984,1,13.51301,California,Sunnyvale,United States
50982-85,Buyout/LBO,Information Technology,Software,Software Development Applications,"Mobile, Artificial Intelligence & Machine Learning, TMT, Industrials, CloudTech & DevOps",8/23/2017,757.47735,3070.18763,1287.27337,Series F,115.455,115.454969,0.999999731,115.454969,0.999999731,8.32065,Massachusetts,Framingham,United States
54517-60,Merger/Acquisition,Information Technology,Software,Software Development Applications,"SaaS, Mobile, TMT, CloudTech & DevOps",3/1/2015,1074.76132,2885.81824,654.38739,Early Stage VC,7.4,53.7365,0.90438,64.09437,0.84151,11.86013,California,San Francisco,United States
97276-60,Merger/Acquisition,Information Technology,Software,Software Development Applications,"Mobile, TMT, CloudTech & DevOps",1/14/2020,367.6987,2720.55599,418.08359,Later Stage VC,17.015,14.999997,0.881574904,14.999997,0.881574904,12.39683,Washington,Seattle,United States
59149-27,Buyout/LBO,Information Technology,Software,Software Development Applications,"Mobile, TMT, CloudTech & DevOps",6/8/2017,902.65057,2699.34088,827.96948,Series B,40.23195,52.95941,0.92645,72.71344,0.93896,9.54855,England,London,United Kingdom
53614-09,Merger/Acquisition,Information Technology,Software,Application Software,"Mobile, TMT, CloudTech & DevOps",7/1/2015,407.67826,2596.36284,439.28718,Later Stage VC,8.73488,4,0.457934167,4,0.457934167,11.85962,Virginia,Reston,United States
52373-44,Merger/Acquisition,Information Technology,Software,Software Development Applications,"SaaS, Mobile, TMT, CloudTech & DevOps",5/16/2017,403.20163,3014.81103,390.75768,Series C1,58.3242,49.124248,0.84226184,49.124248,0.84226184,8.09129,California,San Francisco,United States
109200-25,Merger/Acquisition,Information Technology,Software,Automation/Workflow Software,"TMT, CloudTech & DevOps",3/5/2019,32.662,1295.83463,32.662,Series A,1.52352,1.133484458,0.743990534,1.133484458,0.743990534,21.4386,England,Grenoble,France
99400-96,Merger/Acquisition,Information Technology,Software,Database Software,"SaaS, TMT, CloudTech & DevOps",6/21/2016,67,1953.24852,67,Series B,22,22,1,22,1,3.04545,California,Santa Clara,United States
55578-34,Merger/Acquisition,Information Technology,Software,Application Software,"TMT, CloudTech & DevOps",4/5/2016,484.11954,2299.87203,785.99625,Series A,2.25,2.25,1,2.25,1,9.62152,California,San Diego,United States
53371-99,IPO,Information Technology,Software,Business/Productivity Software,"SaaS, TMT, CloudTech & DevOps",9/30/2020,4100,4100,4100,Later Stage VC,413.512,212.312378,0.513437042,212.312378,0.513437042,9.91506,California,San Francisco,United States
45245-62,IPO,Information Technology,Software,Business/Productivity Software,"SaaS, TMT, CloudTech & DevOps",12/10/2015,3920.18,3920.18,4382.18,Later Stage VC,60,151.88263,0.83041,131.22466,0.7736,65.3363,New South Wales,Sydney,Australia
95732-47,Merger/Acquisition,Information Technology,Software,Multimedia and Design Software,"SaaS, TMT, CloudTech & DevOps",2/25/2019,383.18765,2114.0569,917.57788,Seed Round,2.11,0.61,0.289099526,0.61,0.289099526,10.0493,New Jersey,Hoboken,United States
