f2,f3,f4,f5,objectId,EXCEL_ID,FIPS
Lee County,Alabama,119.27,263,2,5062f63e-56f7-4fad-8c2c-59a5511a4a64,01081
Limestone County,Alabama,86.9,1504,3,3a26d5ec-95fd-44d8-bd09-a0fa78c67ae4,01083
Lowndes County,Alabama,62.09,2672,4,a3f9056b-9636-42cb-8fa2-898110a184ac,01085
Macon County,Alabama,77.36,2029,5,9faf7c64-738c-4f8a-995c-4f371fedb1ac,01087
Madison County,Alabama,92.55,1191,6,def16b20-a759-4b14-acc1-4260073e04b0,01089
Marengo County,Alabama,70.45,2366,7,c1e4e817-185a-4533-917f-74246a89cc0f,01091
Marion County,Alabama,81.27,1816,8,447f8c4a-2a68-4bf3-b118-573e7c59f9ad,01093
Marshall County,Alabama,95.19,1038,9,d9b294e6-4a8b-476e-9644-af9670e97e1f,01095
Mobile County,Alabama,102.82,647,10,7c929d13-236b-4c19-890f-4365db838614,01097
Monroe County,Alabama,78.58,1963,11,ff9503df-f0fe-4f95-a06c-3c7a67f4f88e,01099
Montgomery County,Alabama,94.04,1115,12,9f6ef56f-c062-4d36-bdf4-6050bcc805e5,01101
Morgan County,Alabama,89.31,1371,13,dd052802-e9a8-4207-81e7-24226948f6bb,01103
Perry County,Alabama,78.6,1958,14,8f50495d-ddb5-4654-8944-3e4a695e0bb3,01105
Pickens County,Alabama,52.34,2954,15,fa6c0105-957a-48de-91f3-6dc663e3c293,01107
Pike County,Alabama,96.53,967,16,8b86a542-1064-4233-bab9-c88c6e8b2bab,01109
Randolph County,Alabama,76.48,2075,17,176797b3-8822-48cb-be53-ed9df8cea263,01111
Russell County,Alabama,91.78,1240,18,2ded8cc6-9e37-44ec-88e3-229b987fdabc,01113
Shelby County,Alabama,109.48,415,19,d05fe0ff-dcd4-4e36-80f9-9747c767398b,01115
St. Clair County,Alabama,97.61,904,20,8531d550-e97c-4a06-b34d-907469a44fa7,01117
Sumter County,Alabama,74.22,2191,21,77c5f42a-6fa8-4621-bfea-63469080ca43,01119
Talladega County,Alabama,92.69,1187,22,6126acd3-d4c2-4c5f-9315-18be0467a6cc,01121
Tallapoosa County,Alabama,88.73,1401,23,cb2b8930-efd9-429a-99c8-7a1135511816,01123
Tuscaloosa County,Alabama,105.43,540,24,ebfb94c6-6e29-4abe-821e-5a0b9af4fbf2,01125
Walker County,Alabama,105,553,25,f7bd10e3-48df-4566-a3fd-36dfbd788d45,01127
Washington County,Alabama,43.07,3064,26,6fe5c2db-9f82-45da-99e8-d4030236fc73,01129
Wilcox County,Alabama,58,2800,27,c186220f-877c-4495-be0a-b801198a740d,01131
Winston County,Alabama,67.4,2504,28,5a491b97-37f3-4f31-b81d-9cef87416e62,01133
Aleutians East Borough,Alaska,41.23,3089,29,bd61c76b-59dd-459b-bf95-5041fac72485,02013
Aleutians West Census Area,Alaska,53.47,2921,30,0b575951-ddda-43a6-8c7c-4fcfb8caae21,02016
Anchorage Municipality,Alaska,108.73,434,31,172193c6-af81-4b98-bee3-44d68808612d,02020
Bethel Census Area,Alaska,69.01,2444,32,e82cafa1-20fe-4cbe-8435-acd93533fbdd,02050
Bristol Bay Borough,Alaska,87.42,1477,33,60065f97-a67a-4eed-8c70-45f4b527977d,02060
Denali Borough,Alaska,275,3,34,e955ba72-3467-4a4a-a76b-97cda2fa4f48,02068
Dillingham Census Area,Alaska,46.5,3028,35,e1523de4-279a-47f2-8ba8-ec43580f06c7,02070
Fairbanks North Star Borough,Alaska,98.73,851,36,d1f89567-00b7-4552-bea0-87c970a755db,02090
Haines Borough,Alaska,134.5,130,37,cb58d715-0508-4639-af73-5f8b37d146a8,02100
Hoonah-Angoon Census Area,Alaska,145,95,38,a742ba22-fa8f-481f-b2fe-a7e063639fc2,02105
Juneau City and Borough,Alaska,98.93,831,39,ec7ea055-1c0b-4082-8bb5-b39de0dd0546,02110
Kenai Peninsula Borough,Alaska,105.99,525,40,8263a822-3f5d-46f0-a289-76d0b8510c08,02122
Ketchikan Gateway Borough,Alaska,110.54,398,41,80b0ca33-929e-4e0f-96b5-96553ce494af,02130
Graham County,Arizona,88.64,1404,42,4e740f95-1821-4e89-b4f3-328c7a229810,04009
Greenlee County,Arizona,53.28,2925,43,e380fc7e-46f0-4dcf-8e80-dbacd6e4e5be,04011
La Paz County,Arizona,112.99,358,44,aecea302-fc06-4d16-96b4-093fe9983631,04012
Maricopa County,Arizona,103.54,617,45,4118a127-2ed0-42cf-baba-a5d795d597d4,04013
Mohave County,Arizona,115.15,317,46,005deae1-840a-4db8-aca8-a6bcfdeda754,04015
Navajo County,Arizona,100.06,777,47,b7b568b1-1e62-4857-93f3-a40f9dd929c2,04017
Pima County,Arizona,104.72,561,48,02c033e2-a8af-4df9-a5b4-a39208e7b0c8,04019
Pinal County,Arizona,92.66,1188,49,c6949c22-ec6a-4704-b510-66ae844778a2,04021
Santa Cruz County,Arizona,101.79,697,50,d9e63aeb-01a3-4424-9032-7e26f42fc327,04023
