ALAND,AWATER,NAME,State,LaborForce_01Month,Employed_01Month,Unemployed_01Month,PctUnemployed_01Month,CurrentMonth,vulnerability_index,rank_cvi,fips_cvi
1539602137,25706961,Autauga County,Alabama,25906,25196,710,2.7,March 2020 - Preliminary,110.31,401,1001
4117621645,1132980868,Baldwin County,Alabama,95924,93418,2506,2.6,March 2020 - Preliminary,146.88,91,1003
2292160139,50523213,Barbour County,Alabama,8532,8234,298,3.5,March 2020 - Preliminary,87.78,1455,1005
1612167476,9602089,Bibb County,Alabama,8628,8374,254,2.9,March 2020 - Preliminary,69.94,2398,1007
1670103866,15015467,Blount County,Alabama,25179,24544,635,2.5,March 2020 - Preliminary,92.04,1224,1009
1613076054,6038093,Bullock County,Alabama,4784,4629,155,3.2,March 2020 - Preliminary,53.81,2907,1011
2012002531,2701198,Butler County,Alabama,9251,8871,380,4.1,March 2020 - Preliminary,100.59,752,1013
1569195268,16587192,Calhoun County,Alabama,45942,44376,1566,3.4,March 2020 - Preliminary,101.11,728,1015
1545085607,16971700,Chambers County,Alabama,15709,15264,445,2.8,March 2020 - Preliminary,98.43,871,1017
1433623319,120308342,Cherokee County,Alabama,11394,11072,322,2.8,March 2020 - Preliminary,95.25,1034,1019
1794477075,20592142,Chilton County,Alabama,19691,19212,479,2.4,March 2020 - Preliminary,92.2,1214,1021
2365869841,19144469,Choctaw County,Alabama,4532,4308,224,4.9,March 2020 - Preliminary,59.55,2759,1023
3207494106,36657891,Clarke County,Alabama,7389,6975,414,5.6,March 2020 - Preliminary,82.68,1748,1025
1564251834,5285207,Clay County,Alabama,6086,5924,162,2.7,March 2020 - Preliminary,74.28,2184,1027
1450663786,2354896,Cleburne County,Alabama,5716,5549,167,2.9,March 2020 - Preliminary,73.24,2239,1029
1758565919,3907189,Coffee County,Alabama,21190,20631,559,2.6,March 2020 - Preliminary,95.76,1001,1031
1535202321,79700278,Colbert County,Alabama,23541,22664,877,3.7,March 2020 - Preliminary,90.21,1321,1033
2202007855,6632046,Conecuh County,Alabama,4469,4299,170,3.8,March 2020 - Preliminary,93.06,1174,1035
1685850815,39987271,Coosa County,Alabama,4469,4339,130,2.9,March 2020 - Preliminary,67.2,2513,1037
2669134207,34226200,Covington County,Alabama,15489,14993,496,3.2,March 2020 - Preliminary,80.46,1864,1039
1576952799,5388562,Crenshaw County,Alabama,6410,6226,184,2.9,March 2020 - Preliminary,81.17,1823,1041
1902970816,52525039,Cullman County,Alabama,38597,37624,973,2.5,March 2020 - Preliminary,97.59,906,1043
1453244559,4082940,Dale County,Alabama,20567,20007,560,2.7,March 2020 - Preliminary,82.71,1746,1045
2534919607,39124778,Dallas County,Alabama,14600,13852,748,5.1,March 2020 - Preliminary,81.11,1830,1047
2012676480,4121543,DeKalb County,Alabama,30960,30135,825,2.7,March 2020 - Preliminary,84.31,1642,1049
1601768864,99957936,Elmore County,Alabama,37151,36183,968,2.6,March 2020 - Preliminary,138.56,113,1051
2448115116,20504948,Escambia County,Alabama,14679,14175,504,3.4,March 2020 - Preliminary,129.86,154,1053
1385871922,35067763,Etowah County,Alabama,42803,41123,1680,3.9,March 2020 - Preliminary,102.61,663,1055
1625693288,4330881,Fayette County,Alabama,6539,6349,190,2.9,March 2020 - Preliminary,74.34,2180,1057
1641841404,32643981,Franklin County,Alabama,14744,14226,518,3.5,March 2020 - Preliminary,78.25,1988,1059
1487897665,11578163,Geneva County,Alabama,11021,10726,295,2.7,March 2020 - Preliminary,73.3,2234,1061
